time,low,high,open,close,volume
2024-12-28 12:44:00+00:00,94479.71,94499.22,94495.69,94499.22,2.73951099
2024-12-28 12:45:00+00:00,94488.16,94499.23,94499.23,94497.46,0.24248257
2024-12-28 12:46:00+00:00,94481.57,94499.23,94495.83,94497.46,0.32719392
2024-12-28 12:47:00+00:00,94485.89,94499.23,94495.22,94494.58,0.27568204
2024-12-28 12:48:00+00:00,94473.86,94499.23,94496.56,94480.51,0.69346823
2024-12-28 12:49:00+00:00,94449.79,94486.41,94479.78,94486.4,1.6059438
2024-12-28 12:50:00+00:00,94472.99,94514.74,94486.41,94514.74,0.66018085
2024-12-28 12:51:00+00:00,94508.22,94538.61,94514.74,94517.57,1.79446852
2024-12-28 12:52:00+00:00,94477.67,94521.67,94519.65,94479.4,0.59989488
2024-12-28 12:53:00+00:00,94479.39,94504.17,94482.77,94492.54,0.91913677
2024-12-28 12:54:00+00:00,94457.33,94504.18,94491.5,94459.42,0.60113135
2024-12-28 12:55:00+00:00,94435.68,94468.31,94457.32,94445.33,0.64604906
2024-12-28 12:56:00+00:00,94445.32,94474.38,94445.33,94465.77,1.21570524
2024-12-28 12:57:00+00:00,94455.24,94470.47,94459.51,94465.57,0.81226861
2024-12-28 12:58:00+00:00,94465.56,94498.96,94465.56,94498.34,5.96431059
2024-12-28 12:59:00+00:00,94447.62,94498.35,94498.34,94447.63,0.78785149
2024-12-28 13:00:00+00:00,94414.64,94497.29,94447.62,94495.49,1.79022327
2024-12-28 13:01:00+00:00,94486.25,94532.02,94495.5,94498.77,1.33660736
2024-12-28 13:02:00+00:00,94447.63,94505.65,94498.77,94447.63,0.96740171
2024-12-28 13:03:00+00:00,94402.7,94458.28,94447.63,94445.25,1.54033795
2024-12-28 13:04:00+00:00,94381.54,94445.25,94445.24,94385.23,5.60115952
2024-12-28 13:05:00+00:00,94369.8,94438.68,94385.23,94433.48,1.52128473
2024-12-28 13:06:00+00:00,94422.84,94453.62,94433.48,94453.62,0.38633746
2024-12-28 13:07:00+00:00,94453.61,94492.39,94453.62,94492.39,0.26118865
2024-12-28 13:08:00+00:00,94492.39,94538.57,94492.39,94533.74,1.93513347
2024-12-28 13:09:00+00:00,94528.5,94561.52,94533.72,94554.25,0.76587399
2024-12-28 13:10:00+00:00,94554.24,94590.6,94554.25,94578.75,1.9035799
2024-12-28 13:11:00+00:00,94578.75,94582.2,94578.75,94582.19,0.16010706
2024-12-28 13:12:00+00:00,94553.23,94582.2,94582.2,94561.56,0.37162329
2024-12-28 13:13:00+00:00,94561.55,94571.33,94561.56,94571.33,0.92692834
2024-12-28 13:14:00+00:00,94571.32,94594.17,94571.33,94571.33,2.5870518
2024-12-28 13:15:00+00:00,94571.32,94590.62,94571.32,94590.61,0.42663621
2024-12-28 13:16:00+00:00,94534.32,94590.62,94590.61,94534.32,1.19242854
2024-12-28 13:17:00+00:00,94499.66,94534.33,94534.33,94514.12,1.04729147
2024-12-28 13:18:00+00:00,94497.82,94534.77,94514.12,94508.68,0.98261433
2024-12-28 13:19:00+00:00,94508.67,94574.06,94508.68,94574.06,0.43220677
2024-12-28 13:20:00+00:00,94567.17,94586.74,94574.05,94585.12,0.29267894
2024-12-28 13:21:00+00:00,94573.29,94585.12,94585.11,94582.39,0.59421923
2024-12-28 13:22:00+00:00,94574.56,94592.76,94582.39,94592.76,0.3696354
2024-12-28 13:23:00+00:00,94586.72,94605.83,94592.75,94600.04,0.39332544
2024-12-28 13:24:00+00:00,94577.19,94596.88,94596.88,94585.89,1.35371283
2024-12-28 13:25:00+00:00,94549.51,94585.9,94585.89,94552.37,0.63423725
2024-12-28 13:26:00+00:00,94501.07,94552.38,94552.38,94517.37,0.89687833
2024-12-28 13:27:00+00:00,94505.54,94538.11,94517.37,94537.95,0.63468604
2024-12-28 13:28:00+00:00,94527.68,94566.32,94537.96,94527.68,0.59574367
2024-12-28 13:29:00+00:00,94517.49,94538.1,94526.89,94528.19,0.47478837
2024-12-28 13:30:00+00:00,94503.91,94534.25,94528.87,94503.92,1.17636347
2024-12-28 13:31:00+00:00,94465.38,94503.91,94503.91,94480.24,0.7499961
2024-12-28 13:32:00+00:00,94469.31,94514.91,94480.24,94514.91,0.45617876
2024-12-28 13:33:00+00:00,94471.73,94514.91,94514.9,94476.52,0.36701287
2024-12-28 13:34:00+00:00,94476.51,94571.28,94476.52,94571.27,4.03928388
2024-12-28 13:35:00+00:00,94552.37,94592.8,94571.28,94592.8,1.148275
2024-12-28 13:36:00+00:00,94552.4,94592.8,94592.8,94552.8,0.72959193
2024-12-28 13:37:00+00:00,94531.77,94555.53,94552.81,94554.25,1.09487828
